,location,title,company,salary,summary,rating
20452,"Mumbai, Maharashtra",SRD - DATA ENGINEER,Mavin InfoTech,NA,"
This is a data engineer role in the team responsible for developing on the firm's Trade Capture data stores that holds the transactional bigdata for real time…
",3.3
20453,"Gurgaon, Haryana",Staff Data Engineer,ChargePoint,NA,"
Build data expertise and data quality for your areas.
OBe an evangelist for data analysis and data-oriented decision making.
",3.4
20454,"Chennai, Tamil Nadu",ML Engineer,Merit Group,NA,"
Effective visualization of the text data and make inferences based on that, should also come up with appropriate data cleansing technique.
",3.9
20455,"Bengaluru, Karnataka",Data Engineer,Rubrik Job Board,NA,"
The engineer will support data initiatives and will ensure.
The hire will be responsible for expanding and optimizing our data, building data.
",NA
20456,"Remote in Bengaluru, Karnataka",Data Engineer,Travelopia,NA,"
Optimizing data efficiency and quality across Travelopia services and solutions.
Implementing measures to ensure data confidentiality, integrity, and…
",NA
20457,"Bengaluru, Karnataka",Lead Data Engineer,CoinDCX,NA,"
Create a taxonomy/data dictionary to communicate data requirements that are important to business stakeholders work on acquiring external data sets through APIs…
",5.0
20458,"Pune, Maharashtra",Sr Staff Engineer - Big Data,Seagate Technology,NA,"
Architecting and developing big data solutions on cloud (AWS or Other).
Advanced experience and hands-on architecture and administration experience on big data…
",3.8
20459,"Bengaluru, Karnataka",newSenior Data Engineer,palo alto networks (india) pvt. ltd.,NA,"
Conduct deep data analysis to discover actionable business insights from the data models.
Experience in consuming external data using APIs.
",NA
20460,"Mumbai, Maharashtra",Data Engineer | 6 to 9 years | Mumbai & Bengaluru,Capgemini,NA,"
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Build the infrastructure required for optimal extraction,…
",3.8
20461,"Chennai, Tamil Nadu",Senior Data QA Engineer,Learnship,NA,"
Ensure data integrity as data flows into our systems and into our data warehouse.
Experienced in testing big data solutions and involved in Data Validation and…
",NA
20462,"Remote in Bengaluru, Karnataka","Data Integration Engineer (Python, SQL, Snowflake)",Data Integration Engineer,NA,"
Contract W2, Contract Independent, Contract Corp-To-Corp, 6 Months.
Min 3 years of experience in Python and SQL.
Min 1 year of experience with Snowflake.
",NA
20463,Tamil Nadu,newSenior Data Engineer,Agilisium,NA,"
Experience with one or more of the big data tools like Hadoop, Kafka, Spark, Beam etc.,.
Develop processes for migrating on-premise data to cloud environment.
",NA
20464,"Bengaluru, Karnataka",Data Engineer,S&P Global,NA,"
Experience using big data tools for data manipulation and modeling (PySpark/Scala).
Implement efficient backend algorithms and data compilations for analytical…
",3.9
20465,"Hyderabad, Telangana","newBusiness Intelligence Engineer, LMAQ",Amazon Dev Center India - Hyd,NA,"
Experience with Telemetry data processing and analytics;
Experienced in data cleaning and wrangling using SQL and Python;
",3.5
20466,"Pune, Maharashtra",Data Platform Engineer,Deutsche Bank,NA,"
Part of the Group Chief Information Office, the Enterprise Analytics Platform (EAP) is a shared technology service to provide advanced data management and data…
",3.8
20467,"Pune, Maharashtra+1 location",Engineer - Data Engineer,NielsenIQ,NA,"
Strong fundamentals in data mining & data processing methodologies.
Qualitative analysis and data mining to extract data, discover hidden patterns, and develop…
",3.4
20468,"Bengaluru, Karnataka","Silicon Implementation Engineer, Devices and Services, Silic...",Google,NA,"
Bachelor's degree in Electrical Engineering or equivalent practical experience.
3 years of experience with ASIC digital design (e.g., STA, CDC, LEC,…
",4.3
20469,"Bengaluru, Karnataka",Data engineer,Millennium,NA,Data Engineer – Big Data analytics analyst Data Engineer – Big Data aData Engineer – Big Data analytics analyst Data Engineer – Big Data analytics analyst…,NA
20470,"Pune, Maharashtra",Software Engineer (10+yrs),PhonePe,NA,"
Experience in building highly scalable business applications, which involve implementing large complex business flows and dealing with a huge amount of data.
",4.3
