,location,title,company,salary,summary,rating
962,"Hyderabad, Telangana",Data Science Engineer,HighRadius,,"
Strong understanding of Statistical concepts such as data distributions, hypothesis testing etc.
Hands on experience with big data frameworks such as Hadoop,…
",3.5
963,"Mumbai, Maharashtra",newBusiness Analytics Internship,Choice International,,"
We offer an array of specialized, multi-disciplinary professional services in investment banking, management consultancy, broking, distribution, retail loans,…
",
964,"Temporarily Remote in Gurgaon, Haryana",Lead data scientist - 2,MasterCard,,"
You’ll work as a part of a product focussed team including product managers, data scientists, developers and devops.
",4.0
965,"Pune, Maharashtra",newData Scientist: Python & Data Analytics,Antal International,,"
Utilize technologies to collect, clean and analyse data from multiple systems and mine insights.
Good understanding of python, should be able to productionize…
",3.5
966,"Gurgaon, Haryana",Senior Analyst - BI and Data Analytics,Fidelity International,,"
Work closely in alignment with existing data frameworks to ensure data governance.
Ability to understand and appreciate the criticality of data resulting in…
",3.9
967,"Pune, Maharashtra",Associate Consultant / Consultant – Data Science,PharmaACE,,"
Analyze different pharmaceutical / life sciences data sets like claims data, electronic medical records, anonymous patient level data, prescription data & sales…
",
968,"Bengaluru, Karnataka",newData analytics_SR Analyst,Lowe's,,"
Strong understanding of finance data and system would be preferred.
Execute on data and analytics projects via various analytical modelling with minimal…
",3.5
969,"Chennai, Tamil Nadu",Data Scientist – Hybrid Modeling & Process control,Pfizer,,"
Within the Manufacturing Intelligence organization one of the teams (MI Data Analytics) will be responsible for providing expert advanced data analytics and…
",4.2
970,"Chandigarh, Chandigarh",newAssociate Data Scientist,XenonStack,,"
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Extending company’s data with third-party sources of…
",2.0
971,"Hyderabad, Telangana",Sr. Data Scientist,SoulPage IT Solutions,,"
Manage relationship with business stakeholders acting as embedded data scientist constantly thinking about data science solutions to make business better.
",
972,"Pune, Maharashtra",newSIOP & Inventory Business Analytics and Data Scientist,Emerson,,"
Excellent computer skills and a technical aptitude that includes strong data gathering skills, expertise, interpretation, and reporting for the Operations…
",3.8
973,"Mumbai, Maharashtra",Portfolio Risk Data Scientist,Deutsche Bank,,"
Collaborate closely with the infrastructure team to effectively organize our data and build data extraction and analysis pipelines.
Best in class leave policy.
",3.8
974,"Bengaluru, Karnataka",newAI & ML Trainer,CloudThat Technologies,,"
Algorithms docker security devops technology consulting big data.
Enthusiasts in AI, Machine Learning, Deep Learning and Data Science.
",4.1
975,"Bengaluru, Karnataka",Data Scientist,Version 1,,"
The role will require a data scientist with excellent communication skills, that is willing to continuously learn and listen.
A couple of years of using Python.
",
976,"Bengaluru, Karnataka",Data Scientist,Netradyne,,"
Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data.
Experience with data visualization and storytelling.
",
977,"Bengaluru, Karnataka",Data Scientist,BCD Travel Corporate,,"
Design and create algorithms to efficiently mine data from large data sets and apply treatments, filters and conditions to the data.
Full-time, based in India.
",3.9
978,India,Data Scientist,Gryt.Fit,,"
Data scientists will be responsible for providing guidelines for the data collection, planning & carrying out experiments, and also try out new approaches.
",
